ID,Name,Age,Marks,Gender
1,Student_1,24,94,Male
2,Student_2,21,81,Female
3,Student_3,22,90,Male
4,Student_4,24,56,Female
5,Student_5,20,44,Female
6,Student_6,22,68,Male
7,Student_7,22,43,Male
8,Student_8,24,49,Female
9,Student_9,19,95,Male
10,Student_10,20,56,Male
11,Student_11,24,49,Male
12,Student_12,20,56,Male
13,Student_13,20,99,Male
14,Student_14,22,59,Female
15,Student_15,21,63,Female
16,Student_16,20,44,Male
17,Student_17,23,73,Male
18,Student_18,22,45,Male
19,Student_19,19,92,Female
20,Student_20,21,41,Male
21,Student_21,23,52,Female
22,Student_22,23,82,Female
23,Student_23,19,82,Female
24,Student_24,21,87,Male
25,Student_25,22,50,Female
26,Student_26,18,90,Male
27,Student_27,21,86,Female
28,Student_28,19,96,Male
29,Student_29,23,62,Female
30,Student_30,22,94,Male
31,Student_31,21,55,Female
32,Student_32,18,70,Male
33,Student_33,18,50,Male
34,Student_34,20,93,Male
35,Student_35,20,55,Male
36,Student_36,24,47,Female
37,Student_37,19,43,Female
38,Student_38,21,79,Male
39,Student_39,21,43,Female
40,Student_40,24,95,Male
41,Student_41,23,64,Male
42,Student_42,23,42,Female
43,Student_43,24,71,Male
44,Student_44,23,42,Male
45,Student_45,20,66,Female
46,Student_46,21,68,Male
47,Student_47,24,71,Male
48,Student_48,21,89,Male
49,Student_49,18,100,Male
50,Student_50,20,97,Female
51,Student_51,22,90,Female
52,Student_52,20,58,Female
53,Student_53,24,60,Male
54,Student_54,22,44,Male
55,Student_55,18,57,Female
56,Student_56,24,67,Male
57,Student_57,19,81,Male
58,Student_58,21,100,Male
59,Student_59,18,61,Male
60,Student_60,21,60,Female
61,Student_61,23,45,Female
62,Student_62,19,40,Female
63,Student_63,19,44,Male
64,Student_64,18,80,Female
65,Student_65,19,51,Female
66,Student_66,22,65,Male
67,Student_67,19,85,Male
68,Student_68,21,73,Female
69,Student_69,21,88,Female
70,Student_70,24,53,Female
71,Student_71,21,65,Female
72,Student_72,24,84,Male
73,Student_73,21,66,Female
74,Student_74,22,48,Female
75,Student_75,24,65,Male
76,Student_76,20,96,Female
77,Student_77,23,86,Male
78,Student_78,18,96,Male
79,Student_79,21,61,Male
80,Student_80,19,86,Female
81,Student_81,21,95,Female
82,Student_82,19,69,Male
83,Student_83,23,82,Female
84,Student_84,23,87,Female
85,Student_85,23,100,Male
86,Student_86,19,56,Male
87,Student_87,21,65,Female
88,Student_88,23,75,Male
89,Student_89,22,40,Female
90,Student_90,24,47,Female
91,Student_91,19,88,Female
92,Student_92,19,74,Female
93,Student_93,21,100,Male
94,Student_94,19,91,Male
95,Student_95,19,54,Male
96,Student_96,23,86,Male
97,Student_97,21,95,Female
98,Student_98,23,61,Female
99,Student_99,24,53,Male
100,Student_100,24,65,Female
101,Student_101,23,67,Female
102,Student_102,24,62,Female
103,Student_103,21,53,Male
104,Student_104,18,63,Male
105,Student_105,23,41,Male
106,Student_106,22,84,Female
107,Student_107,22,65,Male
108,Student_108,19,53,Male
109,Student_109,24,98,Male
110,Student_110,22,95,Male
111,Student_111,19,90,Male
112,Student_112,18,46,Male
113,Student_113,21,42,Female
114,Student_114,21,86,Female
115,Student_115,21,62,Male
116,Student_116,22,85,Male
117,Student_117,18,82,Female
118,Student_118,22,86,Female
119,Student_119,24,99,Male
120,Student_120,22,84,Male
121,Student_121,18,57,Male
122,Student_122,18,97,Male
123,Student_123,24,77,Female
124,Student_124,18,74,Male
125,Student_125,18,90,Male
126,Student_126,21,54,Male
127,Student_127,24,64,Male
128,Student_128,20,94,Female
129,Student_129,20,76,Female
130,Student_130,18,67,Female
131,Student_131,20,49,Male
132,Student_132,20,78,Male
133,Student_133,18,96,Female
134,Student_134,20,56,Male
135,Student_135,22,78,Male
136,Student_136,19,61,Female
137,Student_137,24,65,Female
138,Student_138,19,83,Female
139,Student_139,18,64,Female
140,Student_140,21,56,Male
141,Student_141,24,52,Male
142,Student_142,18,59,Female
143,Student_143,21,64,Male
144,Student_144,19,43,Female
145,Student_145,18,49,Female
146,Student_146,24,42,Male
147,Student_147,24,80,Female
148,Student_148,23,84,Male
149,Student_149,22,57,Male
150,Student_150,20,86,Male
151,Student_151,21,75,Male
152,Student_152,23,86,Female
153,Student_153,20,61,Male
154,Student_154,20,73,Female
155,Student_155,18,86,Female
156,Student_156,20,47,Female
157,Student_157,22,79,Female
158,Student_158,24,88,Male
